stemming,label,total_weight,word_weights
menfes baru pernah coba janji_jiwa tuku sama kopi kenang doang,positive,9,"[0, 0, 0, 2, 0, 0, 3, 0, 3, 1]"
tiga minum janji_jiwa asa manis banget,positive,6,"[0, -3, 0, 3, 5, 1]"
kali minum janji_jiwa dada sakit banget udahnya mual padahal makan dulu,negative,-11,"[0, -3, 0, 0, -5, 1, 0, -5, 0, 1, 0]"
faktor risiko diabetes monday coffee arah kopi the kamas point coffee habitaas bahagia kopi kawan kopi jati kopi beli,positive,4,"[-4, -3, 0, 0, 2, 1, 0, 0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 2]"
kedai kopi umbira kopi cantel afecto coffee air kualitas buruk janji_jiwa kopi soe kopitagram,negative,-5,"[0, 0, 0, 0, 0, 0, 2, -1, 4, -5, 0, 0, -5, 0]"
kalo janji_jiwa memang gasuka soal manis banget mulutkuuuu akhir coba edisi gadis kretek nah lumayan,positive,8,"[0, 0, 4, -4, -1, 5, 1, 0, 0, 2, 0, 0, 0, 0, 1]"
pernah dengar apa tara janji_jiwa,positive,1,"[0, 2, -3, 2, 0]"
turut janji_jiwa enak malah non kopi,positive,2,"[-3, 0, 5, 0, 0, 0]"
tuku engga sanggup aku langsung gemeteran,positive,7,"[0, 0, 2, 2, 3, 0]"
point coffee enak engga enak,positive,12,"[0, 2, 5, 0, 5]"
iya mahal banget masa cup kecil rebu,negative,-1,"[0, 1, 1, 0, 0, -3, 0]"
pr janji_jiwa panas dingin,positive,8,"[0, 0, 4, 4]"
apa daya sekian kopi atas baru nyicipin kopi janji_jiwa,negative,-7,"[-3, 0, 0, 0, -4, 0, 0, 0, 0]"
seharihari mah cukup sachetan,negative,-5,"[0, 0, -5, 0]"
janji_jiwa beli hazelnut cokelat kak premix nya lumayan enak jelek nya beda toko kadang beda rasa,positive,4,"[0, 2, 0, 0, 0, 0, 0, 1, 5, -5, 0, -2, 0, 3, -2, 2]"
janji_jiwa ngawalin muncul kopi pakai tittle romance gaksi,positive,1,"[0, 0, 1, 0, 0, 0, 0, 0]"
dulu gapaham janji_jiwa tren janji sama siapa ndlalah tnyata kopi,negative,-2,"[0, -4, 0, -2, 0, 3, 1, 0, 0, 0]"
janji_jiwa tuku benar,positive,2,"[0, 0, 2]"
enggak janji_jiwa toast nya favorit,positive,9,"[0, 0, 4, 0, 5]"
kopi kenang orang janji_jiwa,positive,3,"[0, 3, 0, 0]"
janji_jiwa oke kok pas promo,positive,8,"[0, 2, 0, 3, 3]"
memang kopi nako mahal banget enggak up size mana dikit banget porsi,positive,8,"[4, 0, 0, 1, 1, 0, 0, 1, 0, -4, 1, 4]"
untung enak,positive,8,"[3, 5]"
kalau tomoro coffee masuk jajar kopi kenang coba,positive,3,"[-1, 0, 2, -3, 0, 0, 3, 2]"
janji_jiwa memang enggak enak,positive,9,"[0, 4, 0, 5]"
knapa sih populer banget,positive,6,"[0, 0, 5, 1]"
sini janji_jiwa tutup sepi malah lebih ramai beli kopi,positive,1,"[0, 0, -2, -3, 0, 1, 3, 2, 0]"
happy banget janji_jiwa baru samping uin servicenya bagus banget kopi nya lebih enak banding outlet meng lucu,positive,17,"[5, 1, 0, 0, -4, 0, 0, 2, 1, 0, 0, 1, 5, 3, 0, 0, 3]"
masyaallah tadi siang lewat smapis mau janji_jiwa nyata anak roh jaga gerbang,positive,14,"[0, 0, 0, 2, 0, 5, 0, 4, -3, 4, 2, 0]"
janji_jiwa bahkan asih pilih beans arabica apek rasa kopi sorry sayang,negative,-2,"[0, 0, 3, -2, 0, 0, -4, 2, 0, -4, 3]"
fore sama kopinako sih paling standart,positive,5,"[0, 3, 0, 0, 2, 0]"
memang benar soal janji_jiwa wkwkwkw asudahlah,positive,5,"[4, 2, -1, 0, 0, 0]"
newbie soal kopi kalo soal janji_jiwa gua maju paling depan,negative,-1,"[0, -1, 0, 0, -1, 0, -3, 1, 2, 1]"
mau beli kopi janji_jiwa,positive,7,"[5, 2, 0, 0]"
lebih baik kamu belikopi,positive,4,"[1, 3, 0, 0]"
kualitas sama lebih murah belikopi,positive,11,"[4, 3, 1, 3, 0]"
sayang uang,positive,3,"[3, 0]"
janji_jiwa juara jiwa toast,positive,4,"[0, 0, 0, 4]"
janji_jiwa jujur kopi engga masuk aku,positive,3,"[0, 4, 0, 0, -3, 2]"
kak favorit aku semua janji_jiwa paling cuma beli toast doang kopi nya memang kurs jujur,positive,24,"[0, 5, 2, -3, 0, 2, 3, 2, 4, 1, 0, 0, 4, 0, 4]"
toastnya aku suka sih kalo pas craving doang,positive,9,"[0, 2, 3, 0, 0, 3, 0, 1]"
jujur janji_jiwa tuh kalo baristanya benar rasa enak deh,positive,13,"[4, 0, 0, 0, 0, 2, 2, 5, 0]"
sayang sulit cari benar sekarang,positive,2,"[3, 0, -3, 2, 0]"
dulu aku suka banget poins square enggak tau sekarang enak apa enggak rata sekarang kalo beli random tempat rasa kayak kopi gosong,positive,11,"[0, 2, 3, 1, 0, 0, 0, 2, 0, 5, -3, 0, 1, 0, 0, 2, -4, 3, 2, -3, 0, 0]"
tahu kamu oknum beli janji_jiwa,positive,6,"[4, 0, 0, 2, 0]"
lidah kamu perlu buka din kalo janji_jiwa kamu bilang enak,positive,10,"[0, 0, 2, 3, 0, 0, 0, 0, 0, 5]"
kalo strong suka janji_jiwa pilih lain tomoro coffe and fore,negative,-3,"[0, 0, 3, 0, -2, -4, 0, 0, 0, 0]"
enak janji_jiwa memang cokelat,positive,9,"[5, 0, 4, 0]"
janji_jiwa rasa enggak konsisten beda tempat kadang beda rasa better lah liter,positive,8,"[0, 2, 0, 0, -2, 3, 3, -2, 2, 2, 0, 0]"
janji_jiwa awal keluar enak kesini makin kurang pernah coba americano rasa engga karuan oke kenang mana,positive,13,"[0, 3, -3, 5, 0, 2, -3, 0, 2, 0, 2, 0, 0, 2, 3, 0]"
sok far janji_jiwa enak rsup fatmawati enak banget,positive,11,"[0, 0, 0, 5, 0, 0, 5, 1]"
janji_jiwa even matchanya rasa air doang,positive,2,"[0, 0, 0, 2, -1, 1]"
manis kagak rasa matcha kagak,positive,1,"[5, -3, 2, 0, -3]"
kesal,positive,4,[4]
kayak kualitas buruk hiperbola sih memang kurang enak euy janji_jiwa,positive,2,"[-3, 4, -5, 0, 0, 4, -3, 5, 0, 0]"
gua biasa pesan kopi dolce kalo janji_jiwa no sugar,positive,1,"[-3, 2, 2, 0, 0, 0, 0, 0, 0]"
gua sih enak but then again gua survey kafe,negative,-5,"[-3, 0, 5, 0, 0, 0, -3, 0, -4]"
janji_jiwa memang paling asalasalan,positive,6,"[0, 4, 2, 0]"
jujur janji_jiwa enggak enak fakkkk,positive,9,"[4, 0, 0, 5, 0]"
janji_jiwa roti enak engga sambung but would like place what i think here,positive,2,"[0, 0, 5, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0]"
eh jangan salah lho sih janji_jiwa kopi susu sahabat rasa kayak kosi susu tetangga tuku tertawa mana murah cuma jiwa apps,positive,7,"[0, -3, -4, 0, 0, 0, 0, 0, 4, 2, -3, 0, 0, 0, 0, 5, 0, 3, 3, 0, 0]"
kamu tuju kan janji_jiwa paling bawah,positive,5,"[0, 3, 0, 0, 2, 0]"
tuju tomorro sama family mart mantap betul janji_jiwa betuuul aneeeh banget rasa americanonya,positive,16,"[3, 0, 3, 0, 0, 5, 2, 0, 0, 0, 1, 2, 0]"
baru kasih rezeki coba kopi kenang pointcoffee familymart sama janji_jiwa,positive,13,"[0, 2, 3, 2, 0, 3, 0, 0, 3, 0]"
iya benar,positive,2,"[0, 2]"
kopi kenang lebih suka less ice,positive,7,"[0, 3, 1, 3, 0, 0]"
enggak tau buat lidah kadang standar manis,positive,9,"[0, 2, 1, 0, 3, -2, 5]"
family deh lupa sih haha enak kok,positive,6,"[0, 0, 1, 0, 0, 5, 0]"
sorry memang parah sih,negative,-5,"[-4, 4, -5, 0]"
janji_jiwa enak cuy cuman masalah engga konsisten lokasi,positive,1,"[0, 5, 0, 0, -4, 0, 0, 0]"
janji_jiwa cuma suka toastnya,positive,6,"[0, 3, 3, 0]"
tomoro fore rasa jenis kurang cocok,positive,3,"[0, 0, 2, 0, -3, 4]"
janji_jiwa memang fail utama cabang beli akhir pernah dulu kayak enak,positive,3,"[0, 4, -5, 0, 0, 2, 0, 0, 0, -3, 5]"
jarang kalo americanokopi hitam enak bi,positive,1,"[0, 0, 0, -4, 5, 0]"
kopi kenang pantesnya tier sama janji_jiwa,positive,6,"[0, 3, 0, 0, 3, 0]"
janji_jiwa kopi kayak ampas gua beli kopi susu pahit banget akhir gua mules engga lama minum,negative,-23,"[0, 0, -3, -3, -3, 2, 0, 0, -3, 1, 0, -3, -4, 0, -4, -3]"
janji_jiwa cuma beli toast nya,positive,9,"[0, 3, 2, 4, 0]"
pas siap beasiswa satu kendala sistem enggak gua cari solusi amp mentok banget,negative,-4,"[3, 1, 0, 3, 0, -4, 0, -3, -3, 3, 0, -5, 1]"
waktu sedih banget tiba tiba kakak gua bilang kalo ngirimin gofood janji_jiwa toast sama kopi susu alhasil gua makan menang,positive,2,"[0, -5, 1, 0, 0, 0, -3, 0, 0, 0, 0, 0, 4, 3, 0, 0, 0, -3, 1, 4]"
batin capek kasih treat sama allah,positive,14,"[0, 4, 2, 0, 3, 5]"
kasta air kualitas buruk engga cuma janji_jiwa beli kopi pesan kopi,positive,5,"[0, -1, 4, -5, 0, 3, 0, 2, 0, 2, 0]"
tomoro lebih enggak enak janji_jiwa kali coba beda rasa tetap enggak nemu enak kopi mana beli beda cabang tetap enggak sreggg,positive,17,"[0, 1, 0, 5, 0, 0, 2, -2, 2, 3, 0, -2, 5, 0, 0, 2, -2, 0, 3, 0, 0]"
wkwkwkw makanya gue bingung sama survey gue lihat kemarin janji_jiwa no paling banyak minat padahal rasa sdngkan tuku malah enggak ada bjirr padahal mana tuku antri pol,positive,18,"[0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 2, 3, 4, 0, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, -3]"
kopi janji_jiwa kayak nyeduh kopi gudday banyak air,negative,-1,"[0, 0, -3, 0, 0, 0, 3, -1]"
janji_jiwa americano nya kayak air kasi kopi cuil,negative,-7,"[0, 0, 0, -3, -1, -3, 0, 0]"
gue dulu karyawan janji_jiwa rasai mutasi tempat pakai mesin manual sama pakai otomatis kayak franke dann memang rasa nya beda manual sama franke,positive,17,"[0, 0, 3, 0, 1, 0, 3, 0, 0, 0, 3, 0, 3, -3, 0, 0, 4, 2, 0, -2, 0, 3, 0]"
tuju janji_jiwa gaenak anjir kopi engga rasa kopi,positive,1,"[3, 0, -5, 1, 0, 0, 2, 0]"
lama enggak minum janji_jiwa akhir minum dekat rumah enggak buruk kok rasa,negative,-9,"[-4, 0, -3, 0, 0, -3, 1, 3, 0, -5, 0, 2]"
janji_jiwa parah itu,negative,-7,"[0, -5, -2]"
aku enggak mau coba kopi soe sama janji_jiwa turut gaenak,negative,-1,"[2, 0, 5, 2, 0, -5, 3, 0, -3, -5]"
arabica benar sih mahal rasa biasa,positive,7,"[0, 2, 0, 1, 2, 2]"
memang janji_jiwa tuh isi cuman air doang tok kopi enggak rasa,positive,8,"[4, 0, 0, 2, 0, -1, 1, 0, 0, 0, 2]"
sisa pernah coba,negative,-2,"[-4, 0, 2]"
benar banget kalo janji_jiwa jangan pesan kopi alias gosong rasa,positive,4,"[2, 1, 0, 0, -3, 2, 0, 0, 0, 2]"
coba semua sih kalo buat indikator bilang enak lama kopi jual dirasain enak gula gua lupa kopi kenang sama janji_jiwa salah satu enak satu ampas pesan sama americano dingin,positive,24,"[2, -3, 0, 0, 1, 0, 0, 5, -4, 0, 1, 0, 5, 0, -3, 1, 0, 3, 3, 0, -4, 3, 5, 3, -3, 2, 3, 0, 4]"
fair kalo kata deka janji_jiwa enak,positive,7,"[3, 0, -1, 0, 0, 5]"
selera air kualitas buruk,positive,1,"[3, -1, 4, -5]"
iya janji_jiwa sekarang banyak es deh matcha nya engga asa,positive,6,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 3]"
sayang sekali dekat rumah ku lebih enak janji_jiwa kopi kenang kopi kenang air gula doang enak banget kopi pas point family tuku fore goat oke janji_jiwa tomoro soe mahal nako filsof arabica,positive,25,"[3, -1, 1, 3, 0, 1, 5, 0, 0, 3, 0, 3, -1, 0, 1, 5, 1, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, -5, 1, 0, 0, 0]"
kalau americano only amp janji_jiwa oke nako kualitas buruk,positive,1,"[-1, 0, 1, 0, 0, 2, 0, 4, -5]"
benar bang kalo janji_jiwa hati jago juta hati,positive,11,"[2, 0, 0, 0, 2, 3, 2, 2]"
sama level tertawa,positive,8,"[3, 0, 5]"
janji_jiwa enak toast nya doang minum rasa engga deskripsi,positive,5,"[0, 5, 4, 0, 1, -3, 2, 0, -4]"
janji_jiwa tuh kayak beli es batu rasa kopi,positive,3,"[0, 0, -3, 2, 0, 2, 2, 0]"
janji_jiwa rasa kopi sasetan malah lebih enak sasetan,positive,8,"[0, 2, 0, 0, 0, 1, 5, 0]"
janji_jiwa benar banget,positive,3,"[0, 2, 1]"
jahat benar sama janji_jiwa hahahahaha but aku tim oke sini soal memang paling sering beli toko,positive,11,"[-4, 2, 3, 0, 0, 0, 2, -4, 2, 0, -1, 4, 2, 3, 2, 0]"
baca review janji_jiwa,positive,3,"[3, 0, 0]"
dulu janji_jiwa enak lumayan tuju kalo sekarang rasa kayak kualitas buruk,positive,7,"[0, 0, 5, 1, 3, 0, 0, 2, -3, 4, -5]"
lah malah goat nya tuku sama janji_jiwa,positive,3,"[0, 0, 0, 0, 0, 3, 0]"
janji_jiwa lmyn enak sejak rajin minum kopi memang tuku masuk enak sichhh dua calf tiga famima,positive,13,"[0, 0, 5, 0, 4, -3, 0, 4, 0, -3, 5, 0, 1, 0, 0, 0]"
janji_jiwa tuh cocok buat enggak mood kopi pengin rasa sedikit sentuh kopi kwkwkwkwk makanya jangan heran tetap ramai banyak kok not a big fan of coffee cuman pengin rasai sedikit cita rasa kopi,positive,17,"[0, 0, 4, 1, 0, 2, 0, 0, 2, -4, 1, 0, 0, 0, -3, 4, 3, 3, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, -4, 0, 2, 0]"
kok orang orang sadar minum janji_jiwa,negative,-1,"[0, 0, 0, 2, -3, 0]"
kalo aku fore sih baik habis kopi kenang,positive,11,"[0, 2, 0, 0, 3, 3, 0, 3]"
janji_jiwa pas awal enak kesini makin engga suka,positive,16,"[0, 3, 3, 5, 0, 2, 0, 3]"
maaf,positive,2,[2]
janji_jiwa kasta paling bawah real alias engga enak,positive,9,"[0, 0, 2, 0, 2, 0, 0, 5]"
ih asli lupa janji_jiwa tertawa,positive,8,"[0, 2, 1, 0, 5]"
hooh paper n sip juara sih kalo kumpul prefer paper n sip sama nako kalo gofud tuparev tomoro manao kalo mau muntah maag fore tertawa,positive,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 5, -3, 0, 0, 5]"
janji_jiwa benar cok dulu asa enak sekarang beberapa kali beli outlet beda rasa kayak nescafe classic campur susu,positive,17,"[0, 2, 0, 0, 3, 5, 0, 3, 0, 2, 0, -2, 2, -3, 0, 0, 5, 0]"
allah iya janji_jiwa rasa kopi enggak ada cuma gula doanggg,positive,14,"[5, 0, 0, 2, 0, 0, 4, 3, 0, 0]"
janji_jiwa inti jangan pesan kopi,negative,-1,"[0, 0, -3, 2, 0]"
sumpah janji_jiwa memang engga enak engga cocok banget,positive,17,"[3, 0, 4, 0, 5, 0, 4, 1]"
engga salah sih pernah coba kopi janji_jiwa punya mak gua buset kopi engga rasa lebih rasa air,positive,2,"[0, -4, 0, 0, 2, 0, 0, 3, 0, -3, 0, 0, 0, 2, 1, 2, -1]"
rill janji_jiwa memang enak percoklatannyaa,positive,9,"[0, 0, 4, 5, 0]"
kopi soe rau malah paling keren lapak nya wkwkwkw,negative,-3,"[0, -5, 0, 0, 2, 0, 0, 0, 0]"
walaupun saing nya cuma janji_jiwa,positive,3,"[0, 0, 0, 3, 0]"
lapak nya beda jauh,negative,-6,"[0, 0, -2, -4]"
mungkin sasar kota kota kecil kopi soe,negative,-11,"[-1, 0, -1, -1, -3, 0, -5]"
teman kantor minum kopi cuma buat syarat penting minum kopi keranjingan kopi sahabat janji_jiwa murah,positive,8,"[0, 0, -3, 0, 3, 1, 0, 3, -3, 0, 0, 0, 4, 0, 3]"
buat rasa sama kayak kopi saset,positive,3,"[1, 2, 3, -3, 0, 0]"
memang sih selera masingmasing tuku rasa kurang kopi susu lebih enak famima tomoro range harga bawah ribu,positive,15,"[4, 0, 3, 0, 0, 2, -3, 0, 0, 1, 5, 0, 0, 0, 3, 0, 0]"
fore paling worth rasa harga walaupun harga memang atas tomoro tuku famima,positive,10,"[0, 2, 0, 2, 3, 0, 3, 4, -4, 0, 0, 0]"
janji_jiwa iya layak,positive,3,"[0, 0, 3]"
sederhana orang remaja mesir pancar baik luar biasa,positive,6,"[3, 0, -2, 0, 0, 3, 0, 2]"
vidi woop pelakor lahir shasa mbak ilan tan semalem janji_jiwa jakarta lpdp,positive,3,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
memang janji_jiwa menang promo online doang rasa engga banget,positive,15,"[4, 0, 4, 3, 0, 1, 2, 0, 1]"
send this my sister wkwkwkwkwk beli janji_jiwa selalu promo bundle sih enggak pernah purely beli harga biasa memang jarang minum kopi caffe kamikaumendangmending,positive,13,"[0, 0, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 2, 3, 2, 4, 0, -3, 0, 0, 0]"
pernah beli janji_jiwa terus rasa engga enak banget,positive,10,"[0, 2, 0, 0, 2, 0, 5, 1]"
enggak tau kayak rempah jahe,negative,-1,"[0, 2, -3, 0, 0]"
janji_jiwa americanonya memang paling aneh sih rasa mau pakai gula enggak tetap enggak nolong rasa oke manuka americanonya fore sama soe seriesnya tomoro akhir minum kenang perut jadi kembung padahal belum enggak kenap,positive,23,"[0, 0, 4, 2, 4, 0, 2, 5, 0, 0, 0, 3, 0, 0, 2, 2, 0, 0, 0, 3, -5, 0, 0, 0, -3, 3, 3, 1, -3, 0, 0, 0, 0]"
memang engga enak,positive,9,"[4, 0, 5]"
lamaaa banget engga beli janji_jiwa sini outlet nya engga bagus lokasi plus kalo beli jiwa toast mahal,positive,14,"[0, 1, 0, 2, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 4, 1]"
janji_jiwa pakai coffee base bukan espresso makanya rasa engga kayak kopi,negative,-2,"[0, 0, 2, 0, -3, 0, 0, 2, 0, -3, 0]"
janji_jiwa enggak enak,positive,5,"[0, 0, 5]"
kualitas turun tiap gerai rasa beda,positive,5,"[4, 1, 0, 0, 2, -2]"
janji_jiwa deh kayak kapal api,negative,-2,"[0, 0, -3, -3, 4]"
tomoro harus belah janji_jiwa,negative,-10,"[0, -5, -5, 0]"
dulu sempat kerja janjiwa masalah utama karnq janji_jiwa pakai mesin kopi manual rokpreso plus orderanya banyak banget jadi bikin rasa kopi engga konsisten,positive,7,"[0, 0, 2, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3, 1, 1, 0, 2, 0, 0, 0]"
janji_jiwa memang gaenak bahas kopsu,positive,1,"[0, 4, -5, 2, 0]"
goat nya tuku kopi jago fm,positive,3,"[0, 0, 0, 0, 3, 0]"
kemarin coba juta jiwa tau under janji_jiwa lumayan sih,positive,7,"[0, 2, 2, 0, 2, 0, 0, 1, 0]"
oke kopi under,positive,2,"[2, 0, 0]"
beli kopsu janji_jiwa rasa,positive,4,"[2, 0, 0, 2]"
janji_jiwa kopi ter engga enak,positive,5,"[0, 0, 0, 0, 5]"
outletnya banyak sih,positive,3,"[0, 3, 0]"
real memang engga enak kopi nya janji_jiwa,positive,11,"[2, 4, 0, 5, 0, 0, 0]"
benar kayak air kualitas buruk janji_jiwa sekarang,negative,-3,"[2, -3, -1, 4, -5, 0, 0]"
pernah gua coba enak arabica fore lumayan kopi kenang enggak enak point soe bikin sakit tenggorok janji_jiwa,positive,3,"[0, -3, 2, 5, 0, 0, 1, 0, 3, 0, 5, 0, -5, 0, -5, 0, 0]"
janji_jiwa enak toastnya doang minum kayak air kualitas buruk pliss,negative,-2,"[0, 5, 0, 1, -3, -3, -1, 4, -5, 0]"
janji_jiwa tempat enak kopi murah sih,positive,11,"[0, 3, 5, 0, 3, 0]"
banding aneh tuju bagi janji_jiwa paling buncit,positive,11,"[3, 4, 3, 2, 0, 2, -3]"
kopi kenang the baik sih pernah coba janji_jiwa skip engga enak banget,positive,14,"[0, 3, 0, 3, 0, 0, 2, 0, 0, 0, 5, 1]"
lebih enak bikin sendiri pakai frisian flag coconut delight nesscafe classic,positive,3,"[1, 5, 0, -3, 0, 0, 0, 0, 0, 0, 0]"
kode referral apk janji_jiwa ulijzr voc tags,negative,-3,"[-3, 0, 0, 0, 0, 0, 0]"
reff referal promo diskon kopi toast voucher jiwa murah minum,positive,12,"[0, 0, 3, 2, 0, 4, 3, 0, 3, -3]"
janji_jiwa kopi paling enggak enak,positive,7,"[0, 0, 2, 0, 5]"
tuju asli enggak enak banget janji_jiwa,positive,11,"[3, 2, 0, 5, 1, 0]"
entah habis minum janji_jiwa tuh langsung kasih tandatanda mau batuk sih tenggorok,positive,3,"[-3, 3, -3, 0, 0, 3, 2, 0, 5, -4, 0, 0]"
janji_jiwa memang kopi aneh wkwkw kalo roti juara,positive,8,"[0, 4, 0, 4, 0, 0, 0, 0]"
pernah beli hot latte tuku kenang signature fore filosofi janji_jiwa,positive,5,"[0, 2, 0, 0, 0, 3, 0, 0, 0, 0]"
oke tuku filosofi kalo money is no object,positive,2,"[2, 0, 0, 0, 0, 0, 0, 0]"
enggak usah lain,negative,-9,"[0, -5, -4]"
list perkopsuan gaenak kopi kecut tengik bikin asam lambung naik malah gaenak banget pertama jatuh janji_jiwa tomoro nakoa point coffe kopi soe kamu sadar engga sih kalo engga enak banget,negative,-8,"[0, 0, -5, 0, -4, 0, 0, -2, 2, 1, 0, -5, 1, 0, 1, 0, 0, 0, 0, 0, 0, -5, 0, 2, 0, 0, 0, 0, 5, 1]"
imho urut kopi baik pernah coba,positive,5,"[0, 0, 0, 3, 0, 2]"
warung djaja abadi,positive,4,"[0, 0, 4]"
famima kopi kenang sama janji_jiwa,positive,6,"[0, 0, 3, 3, 0]"
bgst janji_jiwa air kualitas buruk,negative,-2,"[0, 0, -1, 4, -5]"
not even close,negative,-2,"[0, 0, -2]"
janji_jiwa buruk buat kopi mesin kopi aneh nyata,positive,4,"[0, -5, 1, 0, 0, 0, 4, 4]"
malah kopi kenang janji_jiwa engga,positive,3,"[0, 0, 3, 0, 0]"
teman lactose intolerant engga doyan manis alias cuma minum americano gula kopi franchise,positive,5,"[0, 0, 0, 0, 0, 5, 0, 3, -3, 0, 0, 0, 0]"
beberapa kali coba americanonya beberapa brand atas,positive,4,"[3, 0, 2, 0, 3, 0, -4]"
janji_jiwa apek banget lebih suka fm point tomoro,positive,1,"[0, -4, 1, 1, 3, 0, 0, 0]"
asli janji_jiwa masalah hidup apa,negative,-3,"[2, 0, -4, 2, -3]"
kopi makin aneh tobat beli sana,positive,6,"[0, 2, 4, -2, 2, 0]"
sekarang enggak suka janji_jiwa,positive,3,"[0, 0, 3, 0]"
janji_jiwa enggak janji rasa,positive,2,"[0, 0, 0, 2]"
sumpa iya janji_jiwa engga banget,positive,1,"[0, 0, 0, 0, 1]"
janji_jiwa enggak cocok samsek kayak apa rasa ramai,positive,3,"[0, 0, 4, 0, -3, -3, 2, 3]"
pokok kalo janji_jiwa jangan pesan kopi lambassss,positive,2,"[3, 0, 0, -3, 2, 0, 0]"
janji_jiwa sama kapal api sachetan kalah buruk coffee ever,negative,-3,"[0, 3, -3, 4, 0, -4, -5, 2, 0]"
